"offense","offender_gender","victim_agegroup","offender_agegroup","count"
"0","M","17","12","77"
"0","M","17","13","41"
"0","M","17","14","21"
"0","M","17","15","33"
"0","M","17","16","33"
"0","M","17","17","62"
"0","M","17","18","26"
"0","M","17","19","3"
"0","M","18","2","2"
"0","M","18","3","5"
"0","M","18","4","14"
"0","M","18","5","17"
"0","M","18","6","18"
"0","M","18","7","11"
"0","M","18","8","19"
"0","M","18","9","14"
"0","M","18","10","17"
"0","M","18","11","23"
"0","M","18","12","36"
"0","M","18","13","24"
"0","M","18","14","14"
"0","M","18","15","20"
"0","M","18","16","17"
"0","M","18","17","9"
"0","M","18","18","20"
"0","M","18","19","1"
"0","M","19","2","1"
"0","M","19","4","4"
"0","M","19","5","8"
"0","M","19","6","6"
"0","M","19","7","8"
"0","M","19","8","3"
"0","M","19","9","1"
"0","M","19","10","5"
"0","M","19","11","6"
"0","M","19","12","3"
"0","M","19","13","5"
"0","M","19","14","6"
"0","M","19","15","8"
"0","M","19","16","3"
"0","M","19","17","5"
"0","M","19","18","6"
"0","M","19","19","3"
"0","U","0","1","4"
"0","U","0","2","3"
"0","U","0","3","5"
"0","U","0","4","10"
"0","U","0","5","6"
"0","U","0","6","2"
"0","U","0","7","4"
"0","U","0","8","2"
"0","U","0","9","2"
"0","U","0","10","10"
"0","U","0","11","15"
"0","U","1","0","3"
"0","U","1","1","5"
"0","U","1","2","17"
"0","U","1","3","14"
"0","U","1","4","9"
"0","U","1","5","6"
"0","U","1","6","14"
"0","U","1","7","2"
"0","U","1","8","4"
"0","U","1","9","6"
"0","U","1","10","12"
"0","U","1","11","19"
"0","U","1","12","3"
"0","U","1","13","1"
"0","U","1","17","1"
"0","U","2","0","6"
"0","U","2","1","3"
"0","U","2","2","43"
"0","U","2","3","44"
"0","U","2","4","22"
"0","U","2","5","7"
"0","U","2","6","14"
"0","U","2","7","15"
"0","U","2","8","9"
"0","U","2","9","7"
"0","U","2","10","15"
"0","U","2","11","22"
"0","U","2","12","2"
"0","U","2","13","1"
"0","U","2","14","1"
"0","U","2","19","1"
"0","U","3","0","6"
"0","U","3","1","1"
"0","U","3","2","14"
"0","U","3","3","90"
"0","U","3","4","70"
"0","U","3","5","29"
"0","U","3","6","19"
"0","U","3","7","15"
"0","U","3","8","16"
"0","U","3","9","16"
"0","U","3","10","27"
"0","U","3","11","31"
"0","U","3","12","2"
"0","U","4","0","5"
"0","U","4","1","1"
"0","U","4","2","1"
"0","U","4","3","36"
"0","U","4","4","92"
"0","U","4","5","68"
"0","U","4","6","34"
"0","U","4","7","15"
"0","U","4","8","21"
"0","U","4","9","16"
"0","U","4","10","32"
"0","U","4","11","45"
"0","U","4","12","2"
"0","U","4","14","1"
"0","U","5","0","6"
"0","U","5","2","6"
"0","U","5","3","30"
"0","U","5","4","56"
"0","U","5","5","81"
"0","U","5","6","47"
"0","U","5","7","29"
"0","U","5","8","25"
"0","U","5","9","14"
"0","U","5","10","30"
"0","U","5","11","34"
"0","U","5","15","1"
"0","U","5","17","1"
"0","U","6","0","5"
"0","U","6","2","2"
"0","U","6","3","27"
"0","U","6","4","36"
"0","U","6","5","42"
"0","U","6","6","57"
"0","U","6","7","28"
"0","U","6","8","14"
"0","U","6","9","25"
"0","U","6","10","33"
"0","U","6","11","26"
"0","U","6","12","1"
"0","U","6","13","1"
"0","U","7","0","3"
"0","U","7","2","5"
"0","U","7","3","30"
"0","U","7","4","28"
"0","U","7","5","19"
"0","U","7","6","22"
"0","U","7","7","35"
"0","U","7","8","33"
"0","U","7","9","23"
"0","U","7","10","27"
"0","U","7","11","30"
"0","U","7","12","2"
"0","U","7","13","3"
"0","U","7","15","1"
"0","U","7","17","1"
"0","U","8","0","2"
"0","U","8","1","1"
"0","U","8","2","5"
"0","U","8","3","29"
"0","U","8","4","25"
"0","U","8","5","27"
"0","U","8","6","13"
"0","U","8","7","19"
"0","U","8","8","30"
"0","U","8","9","11"
"0","U","8","10","23"
"0","U","8","11","28"
"0","U","8","12","2"
"0","U","8","13","3"
"0","U","9","0","3"
"0","U","9","2","2"
"0","U","9","3","22"
"0","U","9","4","24"
"0","U","9","5","17"
"0","U","9","6","15"
"0","U","9","7","14"
"0","U","9","8","15"
"0","U","9","9","17"
"0","U","9","10","18"
"0","U","9","11","26"
"0","U","9","12","1"
"0","U","9","14","2"
"0","U","10","2","1"
"0","U","10","3","18"
"0","U","10","4","13"
"0","U","10","5","12"
"0","U","10","6","13"
"0","U","10","7","10"
"0","U","10","8","13"
"0","U","10","9","16"
"0","U","10","10","18"
"0","U","10","11","26"
"0","U","10","12","3"
"0","U","10","13","1"
"0","U","10","14","1"
"0","U","10","15","1"
"0","U","11","0","2"
"0","U","11","2","2"
"0","U","11","3","9"
"0","U","11","4","17"
"0","U","11","5","10"
"0","U","11","6","4"
"0","U","11","7","7"
"0","U","11","8","7"
"0","U","11","9","5"
"0","U","11","10","13"
"0","U","11","11","22"
"0","U","11","12","2"
"0","U","11","13","1"
"0","U","11","15","1"
"0","U","12","0","1"
"0","U","12","2","1"
"0","U","12","3","8"
"0","U","12","4","12"
"0","U","12","5","8"
"0","U","12","6","7"
"0","U","12","7","3"
"0","U","12","8","2"
"0","U","12","9","6"
"0","U","12","10","6"
"0","U","12","11","18"
"0","U","12","12","4"
"0","U","12","15","1"
"0","U","12","17","1"
"0","U","13","1","1"
"0","U","13","2","1"
"0","U","13","3","7"
"0","U","13","4","2"
"0","U","13","5","6"
"0","U","13","6","7"
"0","U","13","7","2"
"0","U","13","8","2"
"0","U","13","9","3"
"0","U","13","10","3"
"0","U","13","11","13"
"0","U","13","13","2"
"0","U","13","14","1"
"0","U","13","17","1"
"0","U","14","0","1"
"0","U","14","3","5"
"0","U","14","4","1"
"0","U","14","5","2"
"0","U","14","6","4"
"0","U","14","7","2"
"0","U","14","8","1"
"0","U","14","9","2"
"0","U","14","10","5"
"0","U","14","11","5"
"0","U","14","12","1"
